Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT
Datetime,,,,,,,,,,,,,,,
2025-11-05 14:30:00+00:00,269.0101013183594,283.7087097167969,514.25,269.58990478515625,285.41180419921875,514.8300170898438,266.92999267578125,277.8800048828125,511.1099853515625,268.5899963378906,279.3800048828125,513.3200073242188,7995553,3637033,2532951
2025-11-05 15:30:00+00:00,270.2900085449219,283.9800109863281,510.1000061035156,270.3800048828125,284.82501220703125,514.3150024414062,268.760009765625,282.6600036621094,508.760009765625,268.989990234375,283.69500732421875,514.280029296875,2169435,1199056,1818451
2025-11-05 16:30:00+00:00,269.9700012207031,283.5299987792969,508.7300109863281,270.4700012207031,285.30499267578125,510.1000061035156,269.5,283.32501220703125,508.2200012207031,270.2799987792969,284.0,510.04998779296875,1631841,1146936,1649556
2025-11-05 17:30:00+00:00,270.1199951171875,283.864013671875,508.8450012207031,270.7900085449219,283.9547119140625,509.6300048828125,269.92999267578125,283.1099853515625,508.2681884765625,269.9700012207031,283.5799865722656,508.7598876953125,1426592,816093,1161479
2025-11-05 18:30:00+00:00,270.42999267578125,284.4200134277344,508.42999267578125,271.70001220703125,286.67999267578125,509.55999755859375,269.7699890136719,283.3294982910156,507.7793884277344,270.1099853515625,283.885009765625,508.8399963378906,2651761,1827084,1249553
2025-11-05 19:30:00+00:00,269.6000061035156,284.4100036621094,507.80499267578125,271.5,284.81939697265625,508.4599914550781,269.5299987792969,283.4599914550781,507.5400085449219,270.4100036621094,284.3900146484375,508.4117126464844,2282746,1022565,1484425
2025-11-05 20:30:00+00:00,270.1099853515625,284.7799987792969,506.989990234375,270.3999938964844,285.3900146484375,508.1499938964844,268.9949951171875,284.385009765625,506.6050109863281,269.6099853515625,284.42999267578125,507.82000732421875,3567904,1536190,2456430
2025-11-06 14:30:00+00:00,272.82000732421875,285.2099914550781,501.2650146484375,272.82000732421875,288.80999755859375,505.70001220703125,267.8900146484375,284.2699890136719,498.5,267.8900146484375,285.7349853515625,505.3599853515625,6762187,4960015,4315178
